seed,alpha,trial,kan,mlpreg,gap
0,0.5,0,0.9489120796671441,0.9501398267512448,-0.0012277470841006721
0,0.5,1,0.9504126594366005,0.950003410408567,0.00040924902803352037
0,0.5,2,0.9497305777232112,0.9502080349225838,-0.00047745719937253295
0,0.5,3,0.9503444512652616,0.9511629493213287,-0.0008184980560671518
0,0.5,4,0.9493213286951777,0.9497305777232112,-0.00040924902803352037
0,0.5,5,0.9496623695518723,0.9506854921219562,-0.0010231225700838564
0,0.5,6,0.9503444512652616,0.9510947411499898,-0.0007502898847282502
0,0.5,7,0.9505490757792784,0.9517086146920402,-0.0011595389127617706
0,0.5,8,0.9501398267512448,0.9519132392060569,-0.0017734124548121066
0,0.5,9,0.9502080349225838,0.9512993656640065,-0.001091330741422758
0,0.5,10,0.9507537002932951,0.9511629493213287,-0.0004092490280336314
0,0.5,11,0.950890116635973,0.9506854921219562,0.0002046245140168157
0,0.5,12,0.950003410408567,0.9510265329786508,-0.0010231225700838564
0,0.5,13,0.9505490757792784,0.9512311574926676,-0.0006820817133892376
0,0.5,14,0.9503444512652616,0.9503444512652616,0.0
0,0.5,15,0.949935202237228,0.9504126594366005,-0.0004774571993724219
0,0.5,16,0.9508219084646341,0.9515039901780233,-0.0006820817133892376
0,0.5,17,0.9505490757792784,0.9508219084646341,-0.00027283268535571725
0,0.5,18,0.9497305777232112,0.950890116635973,-0.0011595389127617706
0,0.5,19,0.950890116635973,0.950890116635973,0.0
0,1.0,0,0.9467294181842985,0.9478889570970602,-0.0011595389127617706
0,1.0,1,0.9472750835550099,0.9478207489257213,-0.0005456653707114345
0,1.0,2,0.9470022508696542,0.9468658345269764,0.00013641634267780312
0,1.0,3,0.9485028306391106,0.9485710388104495,-6.820817133890156e-05
0,1.0,4,0.9450242139008254,0.9467294181842985,-0.001705204283473094
0,1.0,5,0.9460473364709092,0.9479571652683991,-0.0019098287974899097
0,1.0,6,0.9474114998976877,0.9475479162403656,-0.00013641634267791414
0,1.0,7,0.9466612100129596,0.9487074551531274,-0.002046245140167824
0,1.0,8,0.9470704590409931,0.9489120796671441,-0.0018416206261510082
0,1.0,9,0.9468658345269764,0.9495941613805334,-0.0027283268535570615
0,1.0,10,0.9482299979537548,0.9482982061250937,-6.820817133890156e-05
0,1.0,11,0.949048496009822,0.9485710388104495,0.00047745719937253295
0,1.0,12,0.9455016711001978,0.947206875383671,-0.001705204283473205
0,1.0,13,0.9465247936702817,0.9485710388104495,-0.002046245140167713
0,1.0,14,0.9466612100129596,0.9466612100129596,0.0
0,1.0,15,0.948093581611077,0.9481617897824159,-6.820817133890156e-05
0,1.0,16,0.947206875383671,0.9493213286951777,-0.0021144533115067254
0,1.0,17,0.9467294181842985,0.9470704590409931,-0.0003410408566946188
0,1.0,18,0.9475479162403656,0.9488438714958052,-0.0012959552554395737
0,1.0,19,0.9487074551531274,0.9477525407543824,0.0009549143987449549
0,2.0,0,0.935134029056681,0.936975649682832,-0.0018416206261510082
0,2.0,1,0.9365664006547985,0.9382033967669327,-0.0016369961121341925
0,2.0,2,0.9372484823681877,0.9367710251688153,0.0004774571993724219
0,2.0,3,0.9390218948229998,0.9401132255644227,-0.001091330741422869
0,2.0,4,0.9359525271127481,0.9362253597981038,-0.00027283268535571725
0,2.0,5,0.9345201555146306,0.9377941477388991,-0.003273992224268496
0,2.0,6,0.9373166905395266,0.9367028169974763,0.0006138735420503361
0,2.0,7,0.9367710251688153,0.937862355910238,-0.001091330741422758
0,2.0,8,0.9368392333401542,0.9367710251688153,6.820817133890156e-05
0,2.0,9,0.9376577313962212,0.9377941477388991,-0.00013641634267791414
0,2.0,10,0.937998772252916,0.9382033967669327,-0.00020462451401670467
0,2.0,11,0.940727099106473,0.938817270308983,0.0019098287974900208
0,2.0,12,0.9356114862560535,0.9349294045426643,0.0006820817133892376
0,2.0,13,0.9367710251688153,0.9367028169974763,6.820817133901258e-05
0,2.0,14,0.9357479025987313,0.9358161107700702,-6.820817133890156e-05
0,2.0,15,0.9399768092217448,0.9393629356796944,0.0006138735420503361
0,2.0,16,0.9377259395675602,0.9396357683650501,-0.0019098287974899097
0,2.0,17,0.9373166905395266,0.9384762294522884,-0.0011595389127617706
0,2.0,18,0.9377941477388991,0.939703976536389,-0.0019098287974899097
0,2.0,19,0.9373848987108656,0.9377941477388991,-0.00040924902803352037
0,5.0,0,0.898915490075711,0.8852738558079258,0.013641634267785196
0,5.0,1,0.9013027760725735,0.8843871495805198,0.016915626492053693
0,5.0,2,0.9001432371598117,0.8807039083282178,0.01943932883159394
0,5.0,3,0.901780233271946,0.8862287702066708,0.015551463065275217
0,5.0,4,0.896255371393493,0.8844553577518587,0.0118000136416343
0,5.0,5,0.8967328285928654,0.8820680717549962,0.014664756837869164
0,5.0,6,0.9013027760725735,0.8772934997612714,0.02400927631130212
0,5.0,7,0.9031443966987245,0.8890253052315668,0.01411909146715773
0,5.0,8,0.8985062410476775,0.8844553577518587,0.014050883295818828
0,5.0,9,0.9010299433872178,0.8837050678671304,0.017324875520087324
0,5.0,10,0.899870404474456,0.8799536184434895,0.01991678603096647
0,5.0,11,0.9036900620694359,0.8841143168951641,0.019575745174271852
0,5.0,12,0.8977559511629494,0.879544369415456,0.018211581747493377
