bands,alpha,trial,kan,mlpreg,gap
all5,0.5,0,0.9326785348884796,0.93329240843053,-0.0006138735420503361
all5,0.5,1,0.9326785348884796,0.935134029056681,-0.0024554941682013443
all5,0.5,2,0.9340426983152582,0.9347929881999864,-0.0007502898847281392
all5,0.5,3,0.9338380738012414,0.9346565718573085,-0.0008184980560671518
all5,0.5,4,0.9334288247732079,0.9335652411158857,-0.00013641634267780312
all5,1.0,0,0.9307004979196508,0.9300866243776005,0.0006138735420503361
all5,1.0,1,0.9305640815769729,0.9320646613464293,-0.0015005797694563894
all5,1.0,2,0.9315872041470569,0.9320646613464293,-0.0004774571993724219
all5,1.0,3,0.9320646613464293,0.9328149512311575,-0.0007502898847282502
all5,1.0,4,0.9316554123183958,0.9306322897483118,0.0010231225700839675
all5,2.0,0,0.9204010640474729,0.9207421049041675,-0.0003410408566946188
all5,2.0,1,0.9198553986767615,0.9227201418729963,-0.0028647431962348646
all5,2.0,2,0.9224473091876407,0.9213559784462179,0.001091330741422869
all5,2.0,3,0.9245617624991473,0.9227883500443353,0.0017734124548119956
all5,2.0,4,0.9207421049041675,0.9214923947888957,-0.0007502898847281392
all5,5.0,0,0.8775663324466271,0.8667894413750767,0.010776891071550332
all5,5.0,1,0.8746333810790533,0.8662437760043653,0.008389605074688
all5,5.0,2,0.8790669122160835,0.8659027351476707,0.013164177068412775
all5,5.0,3,0.8790669122160835,0.871154764340768,0.007912147875315467
all5,5.0,4,0.8746333810790533,0.8657663188049929,0.008867062274060422
all5,10.0,0,0.8216356319487075,0.7723211240706637,0.04931450787804381
all5,10.0,1,0.8173385171543551,0.7705477116158516,0.046790805538503566
all5,10.0,2,0.8206125093786235,0.7722529158993248,0.048359593479298746
all5,10.0,3,0.8231362117181639,0.7792783575472342,0.04385785417092969
all5,10.0,4,0.8172703089830161,0.7761407816656436,0.041129527317372516
grz,0.5,0,0.9330877839165131,0.935134029056681,-0.002046245140167824
grz,0.5,1,0.9336334492872246,0.9344519473432917,-0.0008184980560671518
grz,0.5,2,0.9339062819725803,0.9347929881999864,-0.0008867062274060533
grz,0.5,3,0.9329513675738353,0.9353386535706978,-0.0023872859968624427
grz,0.5,4,0.934179114657936,0.9345883636859695,-0.00040924902803352037
grz,1.0,0,0.9309733306050065,0.9339062819725803,-0.002932951367573766
grz,1.0,1,0.9317236204897347,0.9345201555146306,-0.002796535024895963
grz,1.0,2,0.9316554123183958,0.9338380738012414,-0.002182661482845627
grz,1.0,3,0.9310415387763454,0.9334970329445468,-0.0024554941682013443
grz,1.0,4,0.9324057022031239,0.9336334492872246,-0.0012277470841006721
grz,2.0,0,0.924971011527181,0.9299502080349226,-0.00497919650774159
grz,2.0,1,0.9266080076393152,0.9312461632903621,-0.004638155651046971
grz,2.0,2,0.9246981788418253,0.929609167178228,-0.0049109883364026885
grz,2.0,3,0.9253120523838756,0.9291999181501944,-0.003887865766318832
grz,2.0,4,0.9270172566673488,0.9302230407202783,-0.0032057840529294834
grz,5.0,0,0.901780233271946,0.9100334220039561,-0.008253188732010086
