featureset,Model,clean_acc,clean_f1,noisy_acc,noisy_f1
base,KAN,0.9306,0.9310435329514399,0.9304,0.9308538832591503
base,MLP,0.9652,0.9651660242679387,0.96415,0.964118428522986
base,MLP-Reg,0.93045,0.9307139328738393,0.9304,0.9306580668585801
base,XGBoost,0.96805,0.9680333945571643,0.9664,0.9663828522582305
base+errors,KAN,0.92915,0.9295216109124718,0.9288,0.929169316273159
base+errors,MLP,0.9655,0.9654741343707963,0.9643,0.964270372038353
base+errors,MLP-Reg,0.93375,0.933838666142986,0.93335,0.9334432469303305
base+errors,XGBoost,0.96925,0.9692351866935999,0.96855,0.9685351104320258
