featureset,Model,clean_acc,clean_f1,noisy_acc,noisy_f1
base,KAN,0.9347247800286475,0.9345655672435547,0.9307004979196508,0.9305547017232547
base,MLP,0.9661005388445536,0.9659383778556939,0.9590068890253053,0.9588604050585273
base,MLP-Reg,0.9355432780847146,0.935245074752127,0.9300866243776005,0.9297891629084309
base,XGBoost,0.9744219357479026,0.9742723191971053,0.9671918695859764,0.9670218136450581
base+errors,KAN,0.9150126185116977,0.9144191227064654,0.9121478753154628,0.9115812444693965
base+errors,MLP,0.9658959143305368,0.9656158264643246,0.9599618034240502,0.9597059138094332
base+errors,MLP-Reg,0.9230611827296911,0.9227535513845485,0.9154900757110702,0.91513754408222
base+errors,XGBoost,0.9734670213491576,0.9732968489899803,0.9671236614146375,0.9669293335052214
